Id,Fabricante,Nombre,Version,Tipo,EndofLife,Grupo,Responsable
292,Microsoft,Microsoft Visual C++ 6.x,6.x,2,1,DGOBC,ND
293,Microsoft,Microsoft Visual FoxPro 6.x,6.x,2,1,DGAI,ND
294,Microsoft,Microsoft Visual FoxPro 6.x,6.x,2,1,DGASF,ND
295,Microsoft,Microsoft Visual FoxPro 7.x,7.x,2,1,sw-Huerfano,ND
296,Microsoft,Microsoft Visual FoxPro 8.x,8.x,2,1,sw-Huerfano,ND
297,Microsoft,Microsoft Visual FoxPro 9.x,9.x,2,-1,sw-Huerfano,ND
298,Microsoft,Microsoft Visual FoxPro ODBC Driver,-1,2,-1,ETB,ND
299,Microsoft,Microsoft Visual FoxPro ODBC Driver,-1,2,-1,sw-Huerfano,ND
300,Microsoft,Microsoft Visual J++ 6.x,6.x,2,-1,DGIE,ND
301,Microsoft,Microsoft Visual Studio 2005,2005,2,-1,DGOBC,ND
302,Microsoft,Microsoft Visual Studio 2005,2005,2,-1,SW_top20,ND
303,Microsoft,Microsoft Visual Studio 2008,2008,2,-1,SW_top20,ND
304,Microsoft,Microsoft Visual Studio 2008 Service Pack 1 Remote Debugger 9.x,9.x,2,0,SW_top20,ND
305,Microsoft,Microsoft Visual Studio 2010,10.x,2,0,sw-Huerfano,ND
306,Microsoft,Microsoft Visual Studio 2010,10.x,2,0,SW_top20,ND
307,Microsoft,Microsoft Visual Studio 2010 Tools for Office Runtime,2010,2,-1,SW_top20,ND
308,Microsoft,Microsoft Visual Studio 2012,11.x,2,0,SW_top20,ND
309,Microsoft,Microsoft Visual Studio 2013,12.x,2,0,SW_top20,ND
310,Microsoft,Microsoft Visual Studio 6 Enterprise,6,2,-1,SW_top20,ND
311,Microsoft,Microsoft Visual Studio 6 Professional,6,2,-1,SW_top20,ND
312,Microsoft,Microsoft Visual Studio 6 Standard,6,2,-1,SW_top20,ND
313,Microsoft,Microsoft Whale Communications Intelligent Application Gateway 2007 3.x,3.x,2,-1,Servidores OSI,ND
314,Microsoft,Microsoft Windows 2000 Support Tools 5.x,5.x,2,-1,DGTI,ND
315,Microsoft,Microsoft Windows 7,7,1,0,Windows 7,ND
316,Microsoft,Microsoft Windows 7,7,1,0,SW Red Interna,ND
317,Microsoft,Microsoft Windows 7,7,1,0,SW Telefonía,ND
318,Microsoft,Microsoft Windows 7 Embedded,7,1,0,Windows 7,ND
319,Microsoft,Microsoft Windows 8,8,1,0,Windows XP,ND
320,Microsoft,Microsoft Windows 8.1,8.1,1,0,Windows XP,ND
321,Microsoft,Microsoft Windows Media Format Runtime 11.x,11.x,2,-1,DGTI,ND
322,Microsoft,Microsoft Windows Media Player 10.x,10.x,2,-1,Windows XP,ND
323,Microsoft,Microsoft Windows Media Player 10.x,10.x,2,-1,ETB,ND
324,Microsoft,Microsoft Windows Media Player 11.x,11.x,2,-1,ETB,ND
325,Microsoft,Microsoft Windows Media Player 11.x,11.x,2,-1,DGTI,ND
326,Microsoft,Microsoft Windows Mobile 6.x,6.x,1,-1,Windows Mobile,ND
327,Microsoft,Microsoft Windows Server 2003 Enterprise Edition,2003,1,-1,Microsoft Windows Server 2003 Enterprise Edition,ND
328,Microsoft,Microsoft Windows Server 2003 Enterprise Edition,2003,1,-1,Microsoft Windows Server XXXX,ND
329,Microsoft,Microsoft Windows Server 2003 Standard Edition,2003,1,-1,OASR,ND
330,Microsoft,Microsoft Windows Server 2003 Standard Edition,2003,1,-1,Trend,ND
331,Microsoft,Microsoft Windows Server 2003 Standard Edition,2003,1,-1,Microsoft Windows Server XXXX,ND
332,Microsoft,Microsoft Windows Server 2003 Standard Edition,2003,1,-1,Servidores OSI,ND
333,Microsoft,Microsoft Windows Server 2003 Standard Edition,2003,1,-1,Websense consola,ND
334,Microsoft,Microsoft Windows Server 2008,2008,1,-1,OASR NEW OS,ND
335,Microsoft,Microsoft Windows Server 2008,2008,1,-1,Microsoft Windows Server XXXX,ND
336,Microsoft,Microsoft Windows Server 2012,2012,1,-1,Microsoft Windows Server XXXX,ND
337,Microsoft,Microsoft Windows Server Update Services (WSUS) 2.x,2.x,2,-1,Microsoft Windows Server XXXX,ND
338,Microsoft,Microsoft Windows Server Update Services (WSUS) 3.x,3.x,2,-1,Microsoft Windows Server XXXX,ND
339,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,Windows XP,ND
340,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGOBC,ND
341,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,_DS-DRE,ND
342,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGAI,ND
343,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGASF,ND
344,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DS-DRE,ND
345,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGE,ND
346,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,Contraloria,ND
347,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGIE,ND
348,Microsoft,Microsoft Windows XP Professional,XP Professional,1,1,DGTI,ND
349,Microsoft,Microsoft Word 2002,2002,2,1,Windows XP,ND
350,MiKTeX,MiKTeX 2.x,2.x,2,-1,DGOBC,ND
351,Mozilla,Mozilla 1.4,1.4,2,-1,redhat,ND
352,Mozilla,Mozilla Firefox 1.x,1.x,2,1,Windows XP,ND
353,Mozilla,Mozilla Firefox 20.x,20.x,2,1,SW_top20,ND
354,Mozilla,Mozilla Firefox 21.x,21.x,2,1,SW_top20,ND
355,Mozilla,Mozilla Firefox 22.x,22.x,2,1,SW_top20,ND
356,Mozilla,Mozilla Firefox 23.x,23.x,2,1,SW_top20,ND
357,Mozilla,Mozilla Firefox 24.x,24.x,2,-1,SW_top20,ND
358,Mozilla,Mozilla Firefox 25.x,25.x,2,1,SW_top20,ND
359,Mozilla,Mozilla Firefox 29.x,29.x,2,1,SW_top20,ND
360,Mozilla,Mozilla Firefox 3.0.x,3.0.x,2,1,SW_top20,ND
361,Mozilla,Mozilla Firefox 8.x,8.x,2,1,SW_top20,ND
362,Mozilla,Mozilla Firefox 9.x,9.x,2,1,SW_top20,ND
363,MRO Software,MRO Maximo 4.x,4.x,2,-1,DGE,ND
364,MySQL,MySQL 4.x,4.x,2,1,redhat,ND
365,MySQL,MySQL 4.x,4.x,2,1,Linux Gentoo,ND
366,MySQL,MySQL 4.x,4.x,2,1,Linux Mandrake 9.6,ND
367,MySQL,MySQL 4.x,4.x,2,1,Linux Mandrake 10.4,ND
368,McAfee,NAI Sniffer Software,-1,2,-1,DGTI,ND
369,Tenable Network Security,Nessus 2.x,2.x,2,1,Linux Gentoo,ND
370,Tenable Network Security,Nessus 2.x,2.x,2,1,Linux Mandrake 9.7,ND
371,Tenable Network Security,Nessus 2.x,2.x,2,1,Linux Mandrake 10.5,ND
372,NetIQ Corporation,NetIQ Performance Endpoints 4.x,4.x,2,-1,DGTI,ND
373,NetIQ Corporation,NetIQ Performance Endpoints 6.x,6.x,2,-1,DGTI,ND
374,Netscape,Netscape 7.x,7.x,2,1,DGTI,ND
375,sourceforge,Net-SNMP 5.x,5.x,2,-1,redhat,ND
376,Reasonable Software House Ltd.,NoClone 3.x,3.x,2,-1,DGIE,ND
377,Nokia,Nokia IPSO 3.x,3.x,2,-1,Nokia,ND
378,Nokia,Nokia IPSO 4.x,4.x,2,-1,Nokia,ND
379,NVIDIA,NVIDIA Graphics Drivers for Linux,-1,2,1,DGTI,ND
380,OpenOffice.org,OpenOffice.org 2.x,2.x,2,1,SW_top20,ND
381,OpenOffice.org,OpenOffice.org 3.x,3.x,2,1,SW_top20,ND
382,OpenBSD,OpenSSH 3.x,3.x,2,-1,redhat,ND
383,OpenBSD,OpenSSH 3.x,3.x,2,-1,Linux Gentoo,ND
384,OpenBSD,OpenSSH 3.x,3.x,2,-1,Linux Mandrake 9.8,ND
385,OpenBSD,OpenSSH 3.x,3.x,2,-1,Linux Mandrake 10.6,ND
386,OpenBSD,OpenSSH 5.x,5.x,2,-1,AIX,ND
387,OpenBSD,OpenSSH 5.x,5.x,2,-1,AIX 6x,ND
388,OpenSSL,OpenSSL 0.x,0.x,2,-1,redhat,ND
389,OpenSSL,OpenSSL 0.x,0.x,2,-1,Linux Gentoo,ND
390,OpenSSL,OpenSSL 0.x,0.x,2,-1,Linux Mandrake 9.9,ND
391,OpenSSL,OpenSSL 0.x,0.x,2,-1,Linux Mandrake 10.7,ND
392,OpenSSL,OpenSSL 0.x,0.x,2,-1,AIX,ND
393,OpenSSL,OpenSSL 0.x,0.x,2,-1,AIX 6x,ND
394,OpenSSL,OpenSSL 0.x,0.x,2,-1,SW_top20,ND
395,OpenSSL,OpenSSL 1.x,1.x,2,-1,SW_top20,ND
396,Oracle Corporation,Oracle Database 8.x,8.x,2,-1,Solaris,ND
397,Oracle Corporation,Oracle Enterprise Manager 10.x,10.x,2,-1,AIX,ND
398,Oracle Corporation,Oracle Enterprise Manager 10.x,10.x,2,-1,AIX 6x,ND
399,Oracle Corporation,Oracle Enterprise Manager 11.x,11.x,2,-1,AIX,ND
400,Oracle Corporation,Oracle Enterprise Manager 11.x,11.x,2,-1,AIX 6x,ND
401,Oracle Corporation,Oracle Home Selector 3.x,3.x,2,-1,ETB,ND
402,Oracle Corporation,Oracle HTTP Server 10.x,10.x,2,0,AIX,ND
403,Oracle Corporation,Oracle HTTP Server 10.x,10.x,2,0,AIX 6x,ND
404,Oracle Corporation,Oracle HTTP Server 9.x,9.x,2,-1,Solaris,ND
405,Oracle Corporation,Oracle Java JDK 1.5x/5.x,1.5.x,2,1,Desarrollo de Sistemas para Análisis de Información,ND
406,Oracle Corporation,Oracle Java JDK 1.5x/5.x,1.5.x,2,1,Linux Gentoo,ND
407,Oracle Corporation,Oracle Java JDK 1.5x/5.x,1.5.x,2,1,Linux Mandrake 9.10,ND
408,Oracle Corporation,Oracle Java JDK 1.5x/5.x,1.5.x,2,1,Windows XP,ND
409,Oracle Corporation,Oracle Java JDK 1.5x/5.x,1.5.x,2,1,Linux Mandrake 10.8,ND
410,Oracle Corporation,Oracle Java JRE 1.5.x/5.x,1.5.x,2,1,Windows XP,ND
411,Oracle Corporation,Oracle Java JRE 1.5.x/5.x,1.5.x,2,1,ETB,ND
412,Oracle Corporation,Oracle Java JRE 1.6.x/6.x,1.6.x,2,1,Desarrollo de Sistemas para Análisis de Información,ND
413,Oracle Corporation,Oracle Java JRE 1.6.x/6.x,1.6.x,2,1,ETB,ND
414,Oracle Corporation,Oracle Java SDK 1.4.x/4.x,1.4.x,2,0,Solaris,ND
415,Oracle Corporation,Oracle Java SDK 1.4.x/4.x,1.4.x,2,0,Windows XP,ND
416,Oracle Corporation,Oracle Java SDK 1.4.x/4.x,1.4.x,2,0,ETB,ND
417,Oracle Corporation,Oracle Java SDK 1.4.x/4.x,1.4.x,2,0,AIX,ND
418,Oracle Corporation,Oracle Java SDK 1.4.x/4.x,1.4.x,2,0,AIX 6x,ND
419,Oracle Corporation,Oracle PeopleSoft Peopletools 8.x,8.x,2,0,Windows XP,ND
420,Oracle Corporation,Oracle WebLogic Server 10.x,10.x,2,0,DGTI,ND
421,Oracle Corporation,Oracle WebLogic Server 8.x,8.x,2,1,Solaris,ND
422,Oracle Corporation,Oracle WebLogic Server 8.x,8.x,2,1,DGTI,ND
423,Oracle Corporation,Oracle9i Application Server,9i,2,1,AIX,ND
424,Oracle Corporation,Oracle9i Application Server,9i,2,1,AIX 6x,ND
425,Oracle Corporation,Oracle9i Database Enterprise Edition,9i,2,1,Solaris,ND
426,Oracle Corporation,Oracle9i Database Enterprise Edition,9i,2,1,AIX,ND
427,Oracle Corporation,Oracle9i Database Enterprise Edition,9i,2,1,AIX 6x,ND
428,Oracle Corporation,Oracle9i Database Standard Edition,9i,2,1,ETB,ND
429,Oracle Corporation,Oracle9i Database Standard Edition,9i,2,1,AIX,ND
430,Oracle Corporation,Oracle9i Database Standard Edition,9i,2,1,AIX 6x,ND
431,BlueCoat,PacketWise 6.x,6.x,2,-1,PacketSharper 6500,ND
432,Perl,Perl 5.x,5.x,2,-1,redhat,ND
433,Perl,Perl 5.x,5.x,2,-1,Linux Gentoo,ND
434,Perl,Perl 5.x,5.x,2,-1,Linux Mandrake 9.11,ND
435,Perl,Perl 5.x,5.x,2,-1,Linux Mandrake 10.9,ND
436,Pervasive Software Inc,Pervasive.SQL 2000i,2000i,2,-1,DGOBC,ND
437,PHP Group,PHP 4.3.x,4.3.x,2,-1,redhat,ND
438,PHP Group,PHP 4.3.x,4.3.x,2,-1,Linux Gentoo,ND
439,PHP Group,PHP 4.3.x,4.3.x,2,-1,Linux Mandrake 9.12,ND
440,PHP Group,PHP 4.3.x,4.3.x,2,-1,Linux Mandrake 10.10,ND
441,PHP Group,PHP 5.0.x,5.0.x,2,1,SW_top20,ND
442,PHP Group,PHP 5.1.x,5.1.x,2,1,SW_top20,ND
443,PHP Group,PHP 5.2.x,5.2.x,2,1,SW_top20,ND
444,PHP Group,PHP 5.3.x,5.3.x,2,-1,SW_top20,ND
445,PHP Group,PHP 5.4.x,5.4.x,2,-1,SW_top20,ND
446,PHP Group,PHP 5.5.x,5.5.x,2,-1,SW_top20,ND
447,PHP Group,PHPX 2.x,2.x,2,-1,SW_top20,ND
448,PHP Group,PHPX 3.x,3.x,2,-1,SW_top20,ND
449,Sony,Picture Package 1.x,1.x,2,-1,DGTI,ND
450,Pinnacle Systems,Pinnacle Instant DVD Recorder 2.x,2.x,2,-1,DGTI,ND
451,Postgresql,PostgreSQL 7.x,7.x,2,-1,SW_top20,ND
452,Postgresql,PostgreSQL 8.x,8.x,2,-1,SW_top20,ND
453,Postgresql,PostgreSQL 9.x,9.x,2,-1,SW_top20,ND
454,ProFTPD,ProFTPD 1.2.x,1.2.x,1,-1,Linux Gentoo,ND
455,ProFTPD,ProFTPD 1.2.x,1.2.x,1,-1,Linux Mandrake 9.13,ND
456,ProFTPD,ProFTPD 1.2.x,1.2.x,2,-1,Linux Mandrake 10.11,ND
457,Intuit,Quicken 13.x,13.x,2,1,DGTI,ND
458,WizCom Technologies,QuickLink Desktop 2.x,2.x,2,-1,DGTI,ND
459,IBM,Rational ClearCase 2003,2003,2,-1,DGTI,ND
460,IBM,Rational ClearQuest 2003,2003,2,-1,DGTI,ND
461,IBM,Rational Rose 8.x,8.x,2,-1,DGTI,ND
462,Real Networks,RealPlayer 1.x,1.x,2,1,sw-Huerfano,ND
463,Real Networks,RealPlayer 15.x,15.x,2,1,sw-Huerfano,ND
464,Real Networks,RealPlayer 16.x,16.x,2,1,sw-Huerfano,ND
465,Real Networks,RealPlayer Cloud 17.x,17.x,2,-1,sw-Huerfano,ND
466,Real Networks,RealPlayer Enterprise 2.x,2.x,2,-1,sw-Huerfano,ND
467,ISS,RealSecure Desktop Protector 7.x,7.x,2,-1,DGTI,ND
468,Red Hat,Red Hat Linux 9,9,1,-1,redhat,ND
469,BMC,Remedy Action Request System 6.x,6.x,2,-1,Windows XP,ND
470,Reuters,Reuters 3000 Xtra 4.x,4.x,2,-1,DGTI,ND
471,Apple,Safari for Windows 3.x,3.x,2,1,sw-Huerfano,ND
472,ND,SafeWord Premiere Access 3.x,3.x,2,-1,Servidores OSI,ND
473,Samba,Samba 2.x,2.x,2,-1,redhat,ND
474,SAP,SAP Sybase Adaptive Server Enterprise (ASE) 16.x,16.x,2,-1,SW_top20,ND
475,Nuance Communications,ScanSoft OmniPage Professional 10.x,10.x,2,-1,DGTI,ND
476,Nuance Communications,ScanSoft OmniPage Professional 12.x,12.x,2,-1,DGAI,ND
477,Nuance Communications,ScanSoft OmniPage Professional 14.x,14.x,2,-1,Contraloria,ND
478,Nuance Communications,ScanSoft OmniPage Professional 16.x,16.x,2,-1,Contraloria,ND
479,Sendmail Consortium,Sendmail 8.x,8.x,2,-1,AIX,ND
480,Sendmail Consortium,Sendmail 8.x,8.x,2,-1,AIX 6x,ND
481,Skype Technologies,Skype for Windows 4.x,4.x,2,-1,ETB,ND
482,Sourcefire,Snort 2.x,2.x,2,-1,redhat,ND
483,Sourcefire,Snort 2.x,2.x,2,-1,Linux Gentoo,ND
484,SPSS,SPSS for Windows 14.x,14.x,2,-1,DGTI,ND
485,Spybot,Spybot - Search & Destroy 1.x,1.x,2,-1,DGTI,ND
486,Squid,Squid 2.x,2.x,2,1,redhat,ND
487,Squid,Squid 2.x,2.x,2,1,Linux Gentoo,ND
488,Squid,Squid 2.x,2.x,2,1,Linux Mandrake 9.14,ND
489,Squid,Squid 2.x,2.x,2,1,Linux Mandrake 10.12,ND
490,SSH Communications,SSH Secure Shell for Servers 3.x,3.x,2,-1,sw-Huerfano,ND
491,SSH Communications,SSH Secure Shell for Windows Servers 3.x,3.x,2,-1,sw-Huerfano,ND
492,SSH Communications,SSH Secure Shell for Workstations 2.x,2.x,2,-1,sw-Huerfano,ND
493,SSH Communications,SSH Secure Shell for Workstations 3.x,3.x,2,-1,SW Red Interna,ND
494,StackDefender,StackDefender 2.x,2.x,2,-1,Linux Gentoo,ND
495,StackDefender,StackDefender 2.x,2.x,2,-1,Linux Mandrake 9.15,ND
496,StackDefender,StackDefender 2.x,2.x,2,-1,Linux Mandrake 10.13,ND
497,ND,Status-bar Scientific Calculator 4.x (extension for Firefox),4.x,2,-1,DGTI,ND
498,Sun Microsystems,Sun Java JDK 1.2.x,1.2.x,2,1,Linux Gentoo,ND
499,Sun Microsystems,Sun Java JDK 1.2.x,1.2.x,2,1,Linux Mandrake 9.16,ND
500,Sun Microsystems,Sun Java JDK 1.2.x,1.2.x,2,1,Linux Mandrake 10.14,ND
501,Oracle Corporation,Sun Java JRE 1.4.x/4.x,1.4.x,2,1,Windows XP,ND
502,Sun Microsystems,Sun Solaris 10.x,10.x,1,-1,Solaris,ND
503,Sun Microsystems,Sun Solaris 8.x,8.x,1,0,Solaris,ND
504,Sun Microsystems,Sun Solaris 8.x,8.x,1,0,Websense-server,ND
505,Sun Microsystems,Sun Solaris 9.x,9.x,1,0,Websense,ND
506,Sybase,Sybase Adaptive Server Enterprise 10.x,10.x,2,-1,SW_top20,ND
507,Sybase,Sybase Adaptive Server Enterprise 11.x,11.x,2,-1,SW_top20,ND
508,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,Solaris,ND
509,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,DGASF,ND
510,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,DGTI,ND
511,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,AIX,ND
512,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,AIX 6x,ND
513,Sybase,Sybase Adaptive Server Enterprise 12.x,12.x,2,-1,SW_top20,ND
514,Sybase,Sybase Adaptive Server Enterprise 15.x,15.x,2,-1,DGTI,ND
515,Sybase,Sybase Adaptive Server Enterprise 15.x,15.x,2,-1,AIX,ND
516,Sybase,Sybase Adaptive Server Enterprise 15.x,15.x,2,-1,AIX 6x,ND
517,Sybase,Sybase Adaptive Server Enterprise 15.x,15.x,2,-1,SW_top20,ND
518,Sybase,Sybase Open Client 11.x,11.x,2,-1,DGTI,ND
519,Sybase,Sybase Open Client 12.x,12.x,2,-1,DGTI,ND
520,Sybase,Sybase PowerBuilder 10.x,10.x,2,1,DGOBC,ND
521,Sybase,Sybase PowerBuilder 10.x,10.x,2,1,ETB,ND
522,Sybase,Sybase PowerBuilder 10.x,10.x,2,1,DGTI,ND
523,Sybase,Sybase PowerBuilder 6.x,6.x,2,1,DGTI,ND
524,Sybase,Sybase Replication Server 12.x,12.x,2,-1,DGTI,ND
525,Sybase,Sybase SQL Anywhere 5.x,5.x,2,1,DGTI,ND
526,Sybase,Sybase SQL Anywhere Studio 9.x,9.x,2,1,DGE,ND
527,Symantec,Symantec Backup Exec for Windows Servers 12.x,12.x,2,-1,OASR,ND
528,Symantec,Symantec Backup Exec for Windows Servers 12.x,12.x,2,-1,OASR NEW OS,ND
529,Symantec,Symantec Norton SystemWorks 2003,2003,2,-1,DGTI,ND
530,Steema Software,TeeChart Pro ActiveX Control 7.x,7.x,2,-1,DGTI,ND
531,Helios Software Solutions,TextPad 4.x,4.x,2,-1,DGOBC,ND
532,Glavsoft,TightVNC Server 1.x,1.x,2,1,Windows XP,ND
533,Glavsoft,TightVNC Server 1.x,1.x,2,1,ETB,ND
534,Glavsoft,TightVNC Server 2.x,2.x,2,-1,sw-Huerfano,ND
535,Glavsoft,TightVNC Viewer 1.x,1.x,2,-1,sw-Huerfano,ND
536,Glavsoft,TightVNC Viewer 2.x,1.x,2,-1,sw-Huerfano,ND
537,Symantec,VERITAS NetBackup BusinessServer 3.x,3.x,2,1,DGTI,ND
538,Symantec,VERITAS NetBackup DataCenter 3.x,3.x,2,1,DGTI,ND
539,Symantec,VERITAS NetBackup Professional 3.x,3.x,2,1,DGTI,ND
540,Symantec,VERITAS Volume Manager 3.x,3.x,2,1,DGTI,ND
541,VMware,VMware ESX Server 3.x,3.x,2,-1,OASR NEW OS,ND
542,VMware,VMware ESX Server 4.x,4.x,2,-1,OASR NEW OS,ND
543,VMware,VMware ESX Server 5.x,5.x,2,-1,OASR NEW OS,ND
544,VMware,VMware Player 1.x,1.x,2,1,SW_top20,ND
545,VMware,VMware Player 2.x,2.x,2,1,SW_top20,ND
546,VMware,VMware Player 3.x,3.x,2,-1,SW_top20,ND
547,VMware,VMware Player 4.x,4.x,2,-1,SW_top20,ND
548,VMware,VMware Player 5.x,5.x,2,-1,SW_top20,ND
549,VMware,VMware Player 6.x,6.x,2,-1,SW_top20,ND
550,VMware,VMware Remote Console 2.x,2.x,2,-1,DGTI,ND
551,VMware,Vmware vCenter Server 4.x,4.x,2,-1,OASR,ND
552,VMware,VMware vCenter Server 4.x,4.x,2,-1,OASR NEW OS,ND
553,VMware,Vmware vSphere 4.x,4.x,2,-1,OASR,ND
554,VMware,VMware vSphere 4.x,4.x,2,-1,OASR NEW OS,ND
555,VMware,Vmware vSphere Client 4.x,4.x,2,-1,OASR,ND
556,VMware,VMware vSphere Client 4.x,4.x,2,-1,OASR NEW OS,ND
557,VMware,VMware vSphere Update manager 1.x,1.x,2,-1,SW_top20,ND
558,VMware,VMware vSphere Update Manager 4.x,4.x,2,-1,SW_top20,ND
559,VMware,VMware vSphere Update Manager 5.x,5.x,2,-1,SW_top20,ND
560,Autodesk,Volo View Express 2002,2002,2,-1,DGE,ND
561,Websense,Websense 6.x,6.x,2,-1,Websense consola,ND
562,Websense,Websense 6.x,6.x,2,-1,Websense-server,ND
563,WebTrends,WebTrends Analytics 8.x,8.x,2,-1,DGTI,ND
564,CvsGUI,WinCvs 1.x,1.x,2,-1,DGOBC,ND
565,Microsoft,Windows NetMeeting 3.x,3.x,2,-1,ETB,ND
566,WinZip,WinZip 11.x,11.x,2,1,DGTI,ND
567,WinZip,WinZip 9.x,9.x,2,1,Windows XP,ND
568,WinZip,WinZip 9.x,9.x,2,1,ETB,ND
569,Wireshark Foundation,Wireshark 0.x,0.x,2,1,DGTI,ND
570,Wireshark Foundation,Wireshark 0.x,0.x,2,1,SW_top20,ND
571,Wireshark Foundation,Wireshark 1.x,0.x,2,-1,sw-Huerfano,ND
572,Wireshark Foundation,Wireshark 1.x,1.x,2,-1,SW_top20,ND
573,Wireshark Foundation,Wireshark 1.x,1.x,2,-1,SW Red Interna,ND
574,HP,WMI Mapper for Windows Server 2003 and Windows Server 2008 for Itanium-based Servers 2.x,2.x,2,-1,OASR,ND
575,HP,WMI Mapper for Windows Server 2003 and Windows Server 2008 for Itanium-based Servers 2.x,2.x,2,-1,OASR NEW OS,ND
576,WU-FTPD,WU-FTPD 2.x,2.x,2,1,Linux Gentoo,ND
577,WU-FTPD,WU-FTPD 2.x,2.x,2,1,Linux Mandrake 9.17,ND
578,WU-FTPD,WU-FTPD 2.x,2.x,2,1,Linux Mandrake 10.15,ND